date,instrument,weight
2022-03-30,ho1s,0.0
2022-03-30,ng1s,0.0
2022-03-30,rb1s,-0.1763576100538683
2022-03-31,cl1s,0.0
2022-03-31,ho1s,0.0
2022-03-31,ng1s,0.0
2022-03-31,rb1s,0.0
2022-04-01,cl1s,0.0
2022-04-01,ho1s,0.0
2022-04-01,ng1s,0.0
2022-04-01,rb1s,0.0
2022-04-04,cl1s,0.0
2022-04-04,ho1s,0.0
2022-04-04,ng1s,0.0
2022-04-04,rb1s,0.0
2022-04-05,cl1s,0.0
2022-04-05,ho1s,0.0
2022-04-05,ng1s,0.0
2022-04-05,rb1s,0.0
2022-04-06,cl1s,0.0
2022-04-06,ho1s,0.0
2022-04-06,ng1s,0.0
2022-04-06,rb1s,0.1378940055624244
2022-04-07,cl1s,0.0
2022-04-07,ho1s,0.0
2022-04-07,ng1s,0.0
2022-04-07,rb1s,0.0
2022-04-08,cl1s,0.0
2022-04-08,ho1s,0.0
2022-04-08,ng1s,0.0
2022-04-08,rb1s,0.13896819132912758
2022-04-11,cl1s,0.0
2022-04-11,ho1s,0.0
2022-04-11,ng1s,0.0
2022-04-11,rb1s,0.18376861018315532
2022-04-12,cl1s,0.0
2022-04-12,ho1s,0.0
2022-04-12,ng1s,0.0
2022-04-12,rb1s,0.18079755152786328
2022-04-13,cl1s,-0.0
2022-04-13,ho1s,0.0
2022-04-13,ng1s,0.0
2022-04-13,rb1s,0.17973871147309084
2022-04-14,cl1s,-0.0
2022-04-14,ho1s,0.0
2022-04-14,ng1s,0.0
2022-04-14,rb1s,-0.18141539210344626
2022-04-18,cl1s,0.0
2022-04-18,ho1s,0.0
2022-04-18,ng1s,0.0
2022-04-18,rb1s,-0.18438153188220732
2022-04-19,cl1s,0.0
2022-04-19,ho1s,0.0
2022-04-19,ng1s,0.0
2022-04-19,rb1s,-0.18266693174593793
2022-04-20,cl1s,0.0
2022-04-20,ho1s,0.0
2022-04-20,ng1s,0.0
2022-04-20,rb1s,-0.1855542312900738
2022-04-21,cl1s,0.0
2022-04-21,ho1s,0.0
2022-04-21,ng1s,0.0
2022-04-21,rb1s,-0.18821522158642248
2022-04-22,cl1s,0.0
2022-04-22,ho1s,0.0
2022-04-22,ng1s,0.0
2022-04-22,rb1s,-0.19087509025012267
2022-04-25,cl1s,0.0
2022-04-25,ho1s,0.0
2022-04-25,ng1s,0.0
2022-04-25,rb1s,0.19249111359353976
2022-04-26,cl1s,0.0
2022-04-26,ho1s,0.0
2022-04-26,ng1s,0.0
2022-04-26,rb1s,-0.19378376039812883
2022-04-27,cl1s,0.0
2022-04-27,ho1s,0.0
2022-04-27,ng1s,0.0
2022-04-27,rb1s,-0.19473205452973835
2022-04-28,cl1s,0.0
2022-04-28,ho1s,0.0
2022-04-28,ng1s,0.0
2022-04-28,rb1s,-0.19739697955814037
2022-04-29,cl1s,0.0
2022-04-29,ho1s,0.0
2022-04-29,ng1s,0.0
2022-04-29,rb1s,-0.20003150365412897
2022-05-02,cl1s,0.0
2022-05-02,ho1s,0.0
2022-05-02,ng1s,0.0
2022-05-02,rb1s,-0.2025958222794909
2022-05-03,cl1s,0.0
2022-05-03,ho1s,0.0
2022-05-03,ng1s,0.0
2022-05-03,rb1s,-0.20580763304216526
2022-05-04,cl1s,0.0
2022-05-04,ho1s,0.0
2022-05-04,ng1s,-0.13400153394490086
2022-05-04,rb1s,-0.20387437219588922
2022-05-05,cl1s,0.0
2022-05-05,ho1s,0.0
2022-05-05,ng1s,-0.0
2022-05-05,rb1s,-0.0
2022-05-06,cl1s,0.0
2022-05-06,ho1s,0.0
2022-05-06,ng1s,-0.0
2022-05-06,rb1s,-0.0
2022-05-09,cl1s,0.0
2022-05-09,ho1s,0.0
2022-05-09,ng1s,0.0
2022-05-09,rb1s,-0.0
2022-05-10,cl1s,0.0
2022-05-10,ho1s,0.0
2022-05-10,ng1s,0.0
2022-05-10,rb1s,0.0
2022-05-11,cl1s,0.0
2022-05-11,ho1s,0.0
2022-05-11,ng1s,0.0
2022-05-11,rb1s,0.0
2022-05-12,cl1s,0.0
2022-05-12,ho1s,0.0
2022-05-12,ng1s,0.0
2022-05-12,rb1s,-0.0
2022-05-13,cl1s,0.0
2022-05-13,ho1s,0.0
2022-05-13,ng1s,0.0
2022-05-13,rb1s,-0.0
2022-05-16,cl1s,0.0
2022-05-16,ho1s,0.0
2022-05-16,ng1s,0.0
2022-05-16,rb1s,-0.0
2022-05-17,cl1s,0.0
2022-05-17,ho1s,0.0
2022-05-17,ng1s,-0.0
2022-05-17,rb1s,-0.0
2022-05-18,cl1s,0.0
2022-05-18,ho1s,0.0
2022-05-18,ng1s,-0.0
2022-05-18,rb1s,-0.0
2022-05-19,cl1s,0.0
2022-05-19,ho1s,0.0
2022-05-19,ng1s,-0.0
2022-05-19,rb1s,-0.0
2022-05-20,cl1s,0.0
2022-05-20,ho1s,0.0
2022-05-20,ng1s,0.0
2022-05-20,rb1s,-0.0
2022-05-23,cl1s,0.0
2022-05-23,ho1s,0.0
2022-05-23,ng1s,0.0
2022-05-23,rb1s,-0.0
2022-05-24,cl1s,0.0
2022-05-24,ho1s,0.0
2022-05-24,ng1s,0.0
2022-05-24,rb1s,-0.0
2022-05-25,cl1s,0.0
2022-05-25,ho1s,0.0
2022-05-25,ng1s,-0.07186900516177994
2022-05-25,rb1s,0.0
2022-05-26,cl1s,0.0
2022-05-26,ho1s,0.0
2022-05-26,ng1s,0.0
2022-05-26,rb1s,0.0
2022-05-27,cl1s,0.0
2022-05-27,ho1s,0.0
2022-05-27,ng1s,0.0
2022-05-27,rb1s,-0.0
2022-05-31,cl1s,0.0
2022-05-31,ho1s,-0.18012094322200947
2022-05-31,ng1s,0.0
2022-05-31,rb1s,-0.0
2022-06-01,cl1s,0.0
2022-06-01,ho1s,0.0
2022-06-01,ng1s,-0.08639762445505304
2022-06-01,rb1s,-0.0
2022-06-02,cl1s,0.0
2022-06-02,ho1s,-0.0
2022-06-02,ng1s,-0.1337769486175252
2022-06-02,rb1s,-0.0
2022-06-03,cl1s,0.0
2022-06-03,ho1s,0.0
2022-06-03,ng1s,-0.09749439395428977
2022-06-03,rb1s,-0.2241339708224475
2022-06-06,cl1s,0.0
2022-06-06,ho1s,0.0
2022-06-06,ng1s,-0.0
2022-06-06,rb1s,-0.22556365265072745
2022-06-07,cl1s,0.0
2022-06-07,ho1s,0.0
2022-06-07,ng1s,-0.0
2022-06-07,rb1s,-0.22811239266539482
2022-06-08,cl1s,0.0
2022-06-08,ho1s,0.0
2022-06-08,ng1s,-0.0
2022-06-08,rb1s,-0.23158935889246932
2022-06-09,cl1s,0.0
2022-06-09,ho1s,0.0
2022-06-09,ng1s,0.0
2022-06-09,rb1s,-0.2353192283993823
2022-06-10,cl1s,0.0
2022-06-10,ho1s,0.0
2022-06-10,ng1s,0.0
2022-06-10,rb1s,-0.23383008508731246
2022-06-13,cl1s,0.0
2022-06-13,ho1s,0.0
2022-06-13,ng1s,0.0
2022-06-13,rb1s,0.22950940524421484
2022-06-14,cl1s,0.0
2022-06-14,ho1s,0.0
2022-06-14,ng1s,0.0
2022-06-14,rb1s,0.23239196584378377
2022-06-15,cl1s,0.0
2022-06-15,ho1s,0.0
2022-06-15,ng1s,0.0
2022-06-15,rb1s,0.2317397232750516
2022-06-16,cl1s,0.0
2022-06-16,ho1s,0.0
2022-06-16,ng1s,0.0
2022-06-16,rb1s,0.23485676731058444
2022-06-17,cl1s,0.0
2022-06-17,ho1s,0.0
2022-06-17,ng1s,-0.0
2022-06-17,rb1s,0.22822395664068995
2022-06-21,cl1s,0.0
2022-06-21,ho1s,0.0
2022-06-21,ng1s,-0.09840763645221814
2022-06-21,rb1s,0.2320351289613629
2022-06-22,cl1s,0.0
2022-06-22,ho1s,0.0
2022-06-22,ng1s,-0.0
2022-06-22,rb1s,0.23560251382085168
2022-06-23,cl1s,0.0
2022-06-23,ho1s,0.0
2022-06-23,ng1s,0.0
2022-06-23,rb1s,0.23708172075864714
2022-06-24,cl1s,0.0
2022-06-24,ho1s,0.0
2022-06-24,ng1s,0.0
2022-06-24,rb1s,0.23581720188648952
2022-06-27,cl1s,0.0
2022-06-27,ho1s,0.0
2022-06-27,ng1s,0.0
2022-06-27,rb1s,0.2386652418632552
2022-06-28,cl1s,0.0
2022-06-28,ho1s,0.0
2022-06-28,ng1s,0.0
2022-06-28,rb1s,-0.23905823900311526
2022-06-29,cl1s,0.0
2022-06-29,ho1s,0.0
2022-06-29,ng1s,-0.0
2022-06-29,rb1s,-0.23625732615772385
2022-06-30,cl1s,0.0
2022-06-30,ho1s,0.0
2022-06-30,ng1s,0.0
2022-06-30,rb1s,0.22603614470182634
