date,instrument,weight
2022-01-03,cl1s,0.0
2022-01-03,ho1s,0.0
2022-01-03,ng1s,0.0
2022-01-03,rb1s,0.19409548037594412
2022-01-04,cl1s,0.0
2022-01-04,ho1s,0.0
2022-01-04,ng1s,0.0
2022-01-04,rb1s,0.19714232003866455
2022-01-05,cl1s,0.0
2022-01-05,ho1s,0.0
2022-01-05,ng1s,0.0
2022-01-05,rb1s,0.20033675741515058
2022-01-06,cl1s,0.0
2022-01-06,ho1s,0.0
2022-01-06,ng1s,0.0
2022-01-06,rb1s,0.2036864416078264
2022-01-07,cl1s,0.0
2022-01-07,ho1s,0.0
2022-01-07,ng1s,0.0
2022-01-07,rb1s,0.207007188389281
2022-01-10,cl1s,0.0
2022-01-10,ho1s,0.0
2022-01-10,ng1s,0.0
2022-01-10,rb1s,0.20956673173932086
2022-01-11,cl1s,0.0
2022-01-11,ho1s,0.0
2022-01-11,ng1s,0.0
2022-01-11,rb1s,0.27025174005946867
2022-01-12,cl1s,0.0
2022-01-12,ho1s,0.0
2022-01-12,ng1s,0.0
2022-01-12,rb1s,0.2737302732302007
2022-01-13,cl1s,0.0
2022-01-13,ho1s,0.0
2022-01-13,ng1s,-0.0
2022-01-13,rb1s,0.0
2022-01-14,cl1s,0.0
2022-01-14,ho1s,0.0
2022-01-14,ng1s,-0.10067649489990095
2022-01-14,rb1s,-0.2139148942424089
2022-01-18,cl1s,0.0
2022-01-18,ho1s,0.0
2022-01-18,ng1s,-0.0
2022-01-18,rb1s,-0.2174496518296048
2022-01-19,cl1s,0.0
2022-01-19,ho1s,0.0
2022-01-19,ng1s,0.0
2022-01-19,rb1s,0.22073667592019472
2022-01-20,cl1s,0.0
2022-01-20,ho1s,0.0
2022-01-20,ng1s,0.0
2022-01-20,rb1s,0.22443429057935563
2022-01-21,cl1s,0.0
2022-01-21,ho1s,0.0
2022-01-21,ng1s,0.0
2022-01-21,rb1s,-0.2271719974205088
2022-01-24,cl1s,0.0
2022-01-24,ho1s,0.0
2022-01-24,ng1s,0.0
2022-01-24,rb1s,0.2273455210668422
2022-01-25,cl1s,0.0
2022-01-25,ho1s,0.0
2022-01-25,ng1s,-0.0
2022-01-25,rb1s,0.0
2022-01-26,cl1s,0.0
2022-01-26,ho1s,0.0
2022-01-26,ng1s,-0.0
2022-01-26,rb1s,0.0
2022-01-27,cl1s,0.0
2022-01-27,ho1s,0.0
2022-01-27,ng1s,-0.0
2022-01-27,rb1s,0.0
2022-01-28,cl1s,0.0
2022-01-28,ho1s,0.0
2022-01-28,ng1s,-0.11169112848758964
2022-01-28,rb1s,0.0
2022-01-31,cl1s,0.0
2022-01-31,ho1s,0.0
2022-01-31,ng1s,-0.0
2022-01-31,rb1s,0.0
2022-02-01,cl1s,0.0
2022-02-01,ho1s,0.0
2022-02-01,ng1s,-0.0
2022-02-01,rb1s,0.0
2022-02-02,cl1s,0.0
2022-02-02,ho1s,0.0
2022-02-02,ng1s,-0.08173980112246575
2022-02-02,rb1s,0.0
2022-02-03,cl1s,0.0
2022-02-03,ho1s,0.0
2022-02-03,ng1s,-0.1003241086040034
2022-02-03,rb1s,0.0
2022-02-04,cl1s,0.0
2022-02-04,ho1s,0.0
2022-02-04,ng1s,-0.0
2022-02-04,rb1s,0.0
2022-02-07,cl1s,0.0
2022-02-07,ho1s,0.0
2022-02-07,ng1s,0.0
2022-02-07,rb1s,0.0
2022-02-08,cl1s,0.0
2022-02-08,ho1s,0.0
2022-02-08,ng1s,-0.07135656884967455
2022-02-08,rb1s,-0.0
2022-02-09,cl1s,0.0
2022-02-09,ho1s,0.0
2022-02-09,ng1s,-0.0
2022-02-09,rb1s,0.0
2022-02-10,cl1s,0.0
2022-02-10,ho1s,0.0
2022-02-10,ng1s,-0.0
2022-02-10,rb1s,0.0
2022-02-11,cl1s,0.0
2022-02-11,ho1s,0.0
2022-02-11,ng1s,-0.0
2022-02-11,rb1s,0.0
2022-02-14,cl1s,0.0
2022-02-14,ho1s,0.0
2022-02-14,ng1s,-0.0
2022-02-14,rb1s,-0.0
2022-02-15,cl1s,0.0
2022-02-15,ho1s,0.0
2022-02-15,ng1s,-0.0
2022-02-15,rb1s,0.0
2022-02-16,cl1s,0.0
2022-02-16,ho1s,0.0
2022-02-16,ng1s,-0.0
2022-02-16,rb1s,0.0
2022-02-17,cl1s,0.0
2022-02-17,ho1s,0.0
2022-02-17,ng1s,-0.0
2022-02-17,rb1s,0.0
2022-02-18,cl1s,0.0
2022-02-18,ho1s,0.0
2022-02-18,ng1s,-0.06901402323021208
2022-02-18,rb1s,0.0
2022-02-22,cl1s,0.0
2022-02-22,ho1s,0.0
2022-02-22,ng1s,-0.05762176950451992
2022-02-22,rb1s,0.0
2022-02-23,cl1s,0.0
2022-02-23,ho1s,0.0
2022-02-23,ng1s,-0.0
2022-02-23,rb1s,0.0
2022-02-24,cl1s,0.0
2022-02-24,ho1s,0.0
2022-02-24,ng1s,-0.06361178431521432
2022-02-24,rb1s,0.0
2022-02-25,cl1s,0.0
2022-02-25,ho1s,0.0
2022-02-25,ng1s,-0.1057699945689253
2022-02-25,rb1s,0.0
2022-02-28,cl1s,0.0
2022-02-28,ho1s,0.0
2022-02-28,ng1s,-0.0
2022-02-28,rb1s,0.0
2022-03-01,cl1s,0.0
2022-03-01,ho1s,0.0
2022-03-01,ng1s,-0.0
2022-03-01,rb1s,0.0
2022-03-02,cl1s,0.0
2022-03-02,ho1s,0.0
2022-03-02,ng1s,-0.0
2022-03-02,rb1s,-0.0
2022-03-03,cl1s,0.15544569473476316
2022-03-03,ho1s,0.0
2022-03-03,ng1s,-0.11820168179074449
2022-03-03,rb1s,-0.0
2022-03-04,cl1s,0.0
2022-03-04,ho1s,0.0
2022-03-04,ng1s,-0.11802056456031634
2022-03-04,rb1s,-0.2445275709576444
2022-03-07,cl1s,0.0
2022-03-07,ho1s,0.0
2022-03-07,ng1s,-0.11847578959228779
2022-03-07,rb1s,-0.2486150597948047
2022-03-08,cl1s,0.0
2022-03-08,ho1s,0.0
2022-03-08,ng1s,-0.0
2022-03-08,rb1s,-0.18761908792081677
2022-03-09,cl1s,0.0
2022-03-09,ho1s,0.0
2022-03-09,ng1s,-0.11940214993828112
2022-03-09,rb1s,-0.14775484416441204
2022-03-10,cl1s,0.0
2022-03-10,ho1s,0.0
2022-03-10,ng1s,-0.0
2022-03-10,rb1s,-0.1449336896103514
2022-03-11,cl1s,0.0
2022-03-11,ho1s,0.0
2022-03-11,ng1s,-0.0
2022-03-11,rb1s,-0.14319213120695298
2022-03-14,cl1s,-0.16626124760368985
2022-03-14,ho1s,0.0
2022-03-14,ng1s,-0.12440681567636445
2022-03-14,rb1s,-0.14059852535681766
2022-03-15,cl1s,0.0
2022-03-15,ho1s,0.0
2022-03-15,ng1s,-0.1260100363530626
2022-03-15,rb1s,0.17937247867747522
2022-03-16,cl1s,0.0
2022-03-16,ho1s,0.0
2022-03-16,ng1s,-0.09375387454531202
2022-03-16,rb1s,0.18228350911575267
2022-03-17,cl1s,0.0
2022-03-17,ho1s,0.0
2022-03-17,ng1s,-0.12749981198481275
2022-03-17,rb1s,-0.1726394768084378
2022-03-18,cl1s,-0.10063822308386275
2022-03-18,ho1s,0.0
2022-03-18,ng1s,0.0
2022-03-18,rb1s,-0.17553459335267924
2022-03-21,cl1s,-0.10675560998995319
2022-03-21,ho1s,0.0
2022-03-21,ng1s,0.0
2022-03-21,rb1s,-0.1755992831809966
2022-03-22,cl1s,-0.11221071242207802
2022-03-22,ho1s,0.0
2022-03-22,ng1s,0.0
2022-03-22,rb1s,-0.17776175450781478
2022-03-23,cl1s,-0.14373911331346645
2022-03-23,ho1s,0.0
2022-03-23,ng1s,0.0
2022-03-23,rb1s,-0.1790711640172792
2022-03-24,cl1s,-0.12625668295370138
2022-03-24,ho1s,0.0
2022-03-24,ng1s,0.0
2022-03-24,rb1s,-0.18096141880530914
2022-03-25,cl1s,-0.1460350929236659
2022-03-25,ho1s,0.0
2022-03-25,ng1s,0.0
2022-03-25,rb1s,-0.1835056855490951
2022-03-28,cl1s,-0.11954727959544414
2022-03-28,ho1s,0.0
2022-03-28,ng1s,0.0
2022-03-28,rb1s,-0.1728949994716864
2022-03-29,cl1s,0.0
2022-03-29,ho1s,0.0
2022-03-29,ng1s,0.0
2022-03-29,rb1s,-0.17557967720901663
2022-03-30,cl1s,0.0
